Date,Price,Open,High,Low,Volume,Chg%
1/1/2014,29542,29435,29598,29340,2930,0.25
2/3/2014,29789,29502,29850,29402,11760,1.04
3/3/2014,32051,30700,32279,30700,5670,4.63
4/1/2014,28116,28432,28507,28058,8840,-1.24
5/1/2014,30380,31033,31743,29914,2850,-2.04
6/2/2014,26626,27012,27130,26520,2920,-1.93
7/1/2014,27975,28210,28277,27950,4410,-0.36
8/1/2014,28037,27810,28124,27761,3300,0.9
9/1/2014,27679,27747,27774,27651,4160,-0.41
10/1/2014,26790,26695,26840,26552,3920,-0.06
11/3/2014,25868,25877,25947,25750,3750,-0.22
12/1/2014,26546,25803,26627,25123,5730,2.68
1/1/2015,26586,26610,26647,26539,1820,-0.03
2/2/2015,28071,28120,28197,27743,2230,0.57
3/2/2015,26541,26508,26997,26440,5080,0.23
4/1/2015,26510,26122,26800,26060,1600,1.72
5/1/2015,26483,26572,26572,26300,2020,-0.41
6/1/2015,26690,26926,27014,26133,4370,-0.66
7/1/2015,26182,26275,26380,26160,1790,-0.45
8/3/2015,24696,24823,24886,24666,2830,-0.38
9/1/2015,26623,26636,26847,26530,2330,0.31
10/1/2015,25782,25780,25863,25680,6120,-0.08
11/2/2015,26228,26450,26450,26181,3900,-0.48
12/1/2015,25018,25189,25250,24975,3710,-0.38
1/1/2016,24943,24976,25071,24900,2120,-0.04
2/1/2016,26973,26755,27049,26645,3570,0.99
3/1/2016,29097,29600,29754,29080,3940,-1.16
4/1/2016,28056,28410,28530,27955,5970,-1.35
5/2/2016,30213,30177,30342,30120,2920,0.25
6/1/2016,28626,28531,28800,28500,2600,0.06
7/1/2016,31077,31096,31220,31010,4140,0.73
8/1/2016,31011,31000,31118,30950,5270,-0.28
9/1/2016,30710,30757,30822,30611,1250,-0.12
10/3/2016,30749,30841,31000,30695,1890,-0.21
11/1/2016,30329,30073,30385,30062,2260,0.9
12/1/2016,28062,28450,28450,27951,2100,-1.29
1/2/2017,27828,27673,27860,27670,1430,0.46
2/1/2017,28981,29155,29463,28811,4270,-0.65
3/1/2017,29529,29455,29595,29118,2230,-0.21
4/3/2017,28720,28607,28790,28580,1450,0.38
5/1/2017,28654,28834,28868,28600,1640,-0.76
6/1/2017,28749,28877,28877,28712,1770,-0.54
7/3/2017,27952,28300,28300,27925,3240,-1.21
8/1/2017,28514,28623,28623,28447,2230,-0.26
9/1/2017,29788,29687,29941,29671,1150,0.11
10/3/2017,29400,29420,29456,29352,1530,-0.5
11/1/2017,29120,29048,29260,28991,2160,0.28
12/1/2017,29217,29045,29344,29038,2160,0.78
1/1/2018,29324,29332,29385,29275,1580,-0.16
2/1/2018,30512,30125,30550,30050,1810,1.49
3/1/2018,30181,30307,30372,30111,1470,-0.8
4/2/2018,30961,30580,31080,30510,1380,1.76
5/1/2018,30874,30855,30917,30735,860,-0.24
6/1/2018,30568,30796,30839,30458,2070,-1.02
7/2/2018,30153,30380,30412,30000,2260,-0.69
8/1/2018,29462,29591,29670,29441,2140,-0.59
9/3/2018,30327,30075,30448,30062,1440,0.7
10/1/2018,30614,30399,30660,30376,2220,0.44
11/1/2018,31783,31671,31818,31619,1580,0.48
12/3/2018,30787,30322,30850,30257,1600,1.99
1/1/2019,31560,31550,31651,31410,680,0.23
2/1/2019,33405,33119,33500,32997,3120,0.92
3/1/2019,32533,32857,32953,31915,1560,-1.12
4/1/2019,31570,31588,31730,31542,4520,-0.42
5/1/2019,31563,31604,31657,31503,1550,-0.2
6/3/2019,32405,32147,32499,32113,1290,0.85
7/1/2019,33348,33777,33777,33210,3840,-1.76
8/1/2019,35134,34520,35500,34430,2710,1.21
9/2/2019,38708,38520,38800,38400,2320,1.07
10/1/2019,37377,36979,37507,36750,3670,1.37
11/1/2019,38652,38759,38800,38518,720,-0.49
12/2/2019,37915,38240,38240,37715,890,-0.12
1/1/2020,38938,38980,39067,38900,120,-0.16
2/1/2020,41099,41249,41315,40901,7330,0.21
3/2/2020,42017,43014,43014,41689,310,0.61
4/1/2020,43578,42854,43645,42800,50,0.82
5/1/2020,45251,44703,45380,44441,310,1.35
6/1/2020,47018,46900,47299,46702,2009,0.34
7/1/2020,48400,48986,49020,48251,330,-0.94
8/3/2020,53927,53988,53988,53600,150,0.64
9/1/2020,51017,51533,51708,50966,1490,-0.16
10/1/2020,50345,50299,50465,50169,110,0.22
11/2/2020,51032,50715,51068,50582,700,0.77
12/1/2020,48641,48200,48937,47809,360,1.55
1/1/2021,50081,50123,50202,50003,50,0
2/1/2021,48424,49298,49438,47425,3140,-1.4
3/1/2021,45021,46187,46188,44910,5190,-1.2
4/1/2021,44957,44500,45002,44500,150,1.21
5/3/2021,46963,46849,47000,46618,120,1.15
6/1/2021,48935,48975,49210,48800,890,0.26
7/1/2021,46985,46882,47999,46837,120,0.36
8/2/2021,47937,48094,48172,47720,170,0.08
9/1/2021,47093,47060,47599,46964,60,0.07
10/1/2021,46315,46303,46360,46125,190,0.2
11/1/2021,47692,47649,47850,47510,100,0.4
12/1/2021,47525,47488,47625,47429,30,0.18
1/3/2022,47473,47940,48100,47327,210,-1.09
2/1/2022,47966,48509,48509,47501,450,0.26
3/1/2022,51565,51168,51696,50843,500,2.05
4/1/2022,51264,51531,51605,51200,200,-0.71
5/2/2022,50831,51201,51920,50575,690,-1.89
6/1/2022,50504,50650,50849,50317,150,-0.82
7/1/2022,51961,51700,53675,51188,150,2.45
8/1/2022,51260,51899,51899,51023,1350,-0.2
